timestamp,open,high,low,close,volume
2018-02-16,1.7300,1.7700,1.6600,1.6900,410224
2018-02-15,1.7400,1.7703,1.6700,1.7300,599207
2018-02-14,1.7000,1.7700,1.6550,1.7300,706973
2018-02-13,1.8300,1.8900,1.7000,1.7100,637120
2018-02-12,1.7500,1.8700,1.7400,1.8300,715886
2018-02-09,1.7600,1.7700,1.6400,1.7300,1154181
2018-02-08,1.8700,1.9300,1.7310,1.7400,1032348
2018-02-07,1.9700,2.0000,1.8500,1.8600,1029008
2018-02-06,1.9600,2.0700,1.9200,1.9500,944938
2018-02-05,1.9800,2.0600,1.9501,2.0100,945606
2018-02-02,2.0200,2.0600,1.9400,2.0000,976607
2018-02-01,2.1700,2.1700,2.0000,2.0200,1440618
2018-01-31,2.2600,2.2900,2.1300,2.1400,1412095
2018-01-30,2.3000,2.3298,2.2200,2.2500,465550
2018-01-29,2.3500,2.3800,2.2900,2.3200,323086
2018-01-26,2.3800,2.4250,2.3600,2.3700,321946
2018-01-25,2.5700,2.5800,2.3800,2.3900,903624
2018-01-24,2.5200,2.5800,2.4500,2.5600,919634
2018-01-23,2.4300,2.5400,2.3600,2.5200,1157934
2018-01-22,2.2700,2.3400,2.2700,2.3300,393652
2018-01-19,2.3300,2.3800,2.2500,2.2800,888153
2018-01-18,2.5000,2.5000,2.3300,2.3800,637516
2018-01-17,2.4800,2.5300,2.4000,2.5100,538108
2018-01-16,2.5300,2.6000,2.4400,2.4700,476208
2018-01-12,2.5300,2.5700,2.4800,2.5500,257026
2018-01-11,2.4900,2.6300,2.4300,2.5400,692943
2018-01-10,2.5200,2.5500,2.4500,2.4700,535259
2018-01-09,2.5100,2.5850,2.4800,2.5100,414939
2018-01-08,2.5300,2.5400,2.4600,2.5200,332074
2018-01-05,2.7000,2.7000,2.5000,2.5400,787713
2018-01-04,2.7100,2.7500,2.6300,2.7000,831126
2018-01-03,2.6200,2.7850,2.6100,2.7100,782193
2018-01-02,2.4700,2.6500,2.4550,2.6500,595720
2017-12-29,2.4400,2.4700,2.3900,2.4000,522330
2017-12-28,2.4300,2.5112,2.4100,2.4400,277765
2017-12-27,2.5200,2.5800,2.3900,2.4300,497962
2017-12-26,2.4500,2.5500,2.4400,2.5100,521047
2017-12-22,2.4800,2.5400,2.4300,2.4400,320569
2017-12-21,2.3650,2.5200,2.3600,2.5000,696187
2017-12-20,2.2700,2.4000,2.2700,2.3900,303169
2017-12-19,2.3900,2.4300,2.2850,2.3000,474994
2017-12-18,2.2000,2.3800,2.1600,2.3200,632363
2017-12-15,2.2100,2.2700,2.1400,2.1500,836552
2017-12-14,2.3100,2.3150,2.2200,2.2500,335952
2017-12-13,2.3200,2.3700,2.2400,2.2800,668973
2017-12-12,2.3000,2.3252,2.2700,2.3000,512608
2017-12-11,2.2700,2.3700,2.2700,2.2800,600181
2017-12-08,2.2000,2.2500,2.1300,2.1500,448221
2017-12-07,2.2700,2.2800,2.1700,2.1800,557232
2017-12-06,2.3100,2.3798,2.2500,2.2600,571668
2017-12-05,2.4100,2.4700,2.3500,2.3500,368567
2017-12-04,2.4900,2.5500,2.4200,2.4400,579197
2017-12-01,2.5400,2.5700,2.4300,2.4800,583181
2017-11-30,2.5100,2.6000,2.4400,2.4800,642069
2017-11-29,2.5000,2.5500,2.4300,2.4800,551086
2017-11-28,2.5300,2.5700,2.4800,2.5000,378122
2017-11-27,2.5700,2.5700,2.4400,2.5200,898630
2017-11-24,2.6500,2.6500,2.5400,2.5900,600855
2017-11-22,2.6600,2.7000,2.6100,2.6100,427483
2017-11-21,2.7000,2.7300,2.6130,2.6400,611283
2017-11-20,2.5900,2.6900,2.5400,2.6700,857479
2017-11-17,2.5500,2.6300,2.5300,2.6000,721175
2017-11-16,2.5100,2.5600,2.4550,2.5500,338707
2017-11-15,2.4400,2.5100,2.4100,2.5000,465745
2017-11-14,2.5500,2.5900,2.4450,2.4800,452992
2017-11-13,2.5900,2.6500,2.5590,2.6000,528894
2017-11-10,2.5800,2.6950,2.5600,2.6100,867898
2017-11-09,2.3400,2.5900,2.3400,2.5600,1623814
2017-11-08,2.4900,2.5000,2.3600,2.3700,844617
2017-11-07,2.5300,2.5590,2.4600,2.4700,639725
2017-11-06,2.4000,2.5500,2.3700,2.5400,705600
2017-11-03,2.3100,2.4100,2.2900,2.4100,346361
2017-11-02,2.2600,2.3400,2.2400,2.3400,415434
2017-11-01,2.2700,2.3650,2.2500,2.2700,510183
2017-10-31,2.2300,2.3100,2.1800,2.2200,603538
2017-10-30,2.2800,2.3100,2.2100,2.2300,338807
2017-10-27,2.1500,2.2800,2.1400,2.2600,554936
2017-10-26,2.1700,2.1900,2.1300,2.1800,324269
2017-10-25,2.1700,2.2100,2.1200,2.1600,259132
2017-10-24,2.1800,2.2200,2.1700,2.1900,301249
2017-10-23,2.2600,2.2700,2.1600,2.1800,564522
2017-10-20,2.2600,2.2800,2.2200,2.2600,509110
2017-10-19,2.2700,2.3000,2.2100,2.2600,450011
