timestamp,open,high,low,close,volume
2018-02-16,5.7400,5.9100,5.7200,5.8000,507036
2018-02-15,5.7900,5.8299,5.6900,5.7300,519263
2018-02-14,5.6100,5.7700,5.6100,5.7400,347330
2018-02-13,5.6700,5.8000,5.6000,5.6700,485842
2018-02-12,5.6700,5.8000,5.5800,5.6000,862016
2018-02-09,5.3600,5.4800,5.2299,5.3300,629442
2018-02-08,5.5700,5.6600,5.2700,5.2700,513309
2018-02-07,5.6000,5.7300,5.5300,5.5700,352143
2018-02-06,5.4200,5.6700,5.4200,5.6000,495927
2018-02-05,5.6700,5.7800,5.4800,5.4800,344287
2018-02-02,5.8600,5.9600,5.7050,5.7200,494798
2018-02-01,5.8800,6.0800,5.8500,5.9100,492745
2018-01-31,6.0700,6.1100,5.7700,5.8700,574067
2018-01-30,5.9400,6.1600,5.9400,6.0300,856141
2018-01-29,6.1100,6.1600,5.9200,5.9400,438335
2018-01-26,6.1600,6.2000,6.0900,6.1200,695716
2018-01-25,6.2600,6.3798,6.0800,6.1700,2906488
2018-01-24,6.2400,6.2800,6.1000,6.1300,671256
2018-01-23,6.1000,6.2300,6.1000,6.2100,613990
2018-01-22,6.1800,6.2500,6.1600,6.2000,406201
2018-01-19,6.1700,6.2100,6.1400,6.2000,582930
2018-01-18,6.2700,6.3500,6.1700,6.1700,564533
2018-01-17,6.3300,6.3800,6.2600,6.3000,564964
2018-01-16,6.3400,6.4500,6.1900,6.2500,1747424
2018-01-12,6.4200,6.4300,6.2500,6.3200,455187
2018-01-11,6.3100,6.4800,6.3000,6.3700,386833
2018-01-10,6.4300,6.4800,6.2700,6.3100,309673
2018-01-09,6.4700,6.5000,6.3801,6.4400,592547
2018-01-08,6.6000,6.6400,6.4200,6.4700,936184
2018-01-05,6.8400,6.8500,6.4500,6.6000,790043
2018-01-04,6.7100,6.9400,6.7100,6.8200,1144871
2018-01-03,6.6000,6.8600,6.5800,6.6800,652234
2018-01-02,6.6100,6.6700,6.5400,6.6000,637091
2017-12-29,6.6200,6.6750,6.6100,6.6200,344149
2017-12-28,6.4000,6.6800,6.4000,6.6200,745316
2017-12-27,6.3300,6.4500,6.3200,6.4200,1454712
