timestamp,open,high,low,close,volume
2018-02-16,8.8100,8.9500,8.6000,8.7900,468876
2018-02-15,9.0100,9.1000,8.5000,8.8800,336930
2018-02-14,8.3500,9.0000,8.2600,8.9600,558762
2018-02-13,7.7700,8.4600,7.7100,8.3800,1329784
2018-02-12,8.2500,8.2500,7.4100,7.8100,385458
2018-02-09,8.3400,8.3400,7.9117,8.2000,211497
2018-02-08,8.5200,8.5200,8.0900,8.1900,297183
2018-02-07,8.2100,8.5900,8.0900,8.4900,227452
2018-02-06,7.8600,8.2000,7.8200,8.2000,417798
2018-02-05,8.1100,8.4100,7.9800,8.0000,362517
2018-02-02,8.3000,8.5600,8.1700,8.1800,288418
2018-02-01,8.3600,8.4400,8.2000,8.3200,156329
2018-01-31,8.7100,8.7100,8.4300,8.4500,192632
2018-01-30,8.6700,8.7700,8.6700,8.7200,459779
2018-01-29,8.7300,8.8100,8.6500,8.7500,157515
2018-01-26,8.7000,8.8000,8.7000,8.7500,148473
2018-01-25,8.6900,8.7646,8.6900,8.7100,219670
2018-01-24,8.8600,8.9000,8.6900,8.7000,202151
2018-01-23,8.6500,8.9500,8.6500,8.8600,348175
2018-01-22,8.5300,8.7900,8.5125,8.7200,132877
2018-01-19,8.3100,8.6190,8.2500,8.5300,183774
2018-01-18,8.4500,8.5200,8.3100,8.3200,100203
2018-01-17,8.4500,8.6600,8.3900,8.4600,153194
2018-01-16,8.5500,8.6900,8.2700,8.4600,410571
2018-01-12,8.5900,8.7900,8.5000,8.5300,183749
2018-01-11,8.1400,8.5400,8.1028,8.5000,520200
2018-01-10,7.7100,8.1000,7.7100,8.0600,402089
2018-01-09,7.4300,7.8357,7.1400,7.7000,1081150
2018-01-08,7.8300,7.8800,7.3800,7.4400,512030
2018-01-05,8.0300,8.1400,7.7900,7.8600,458627
2018-01-04,7.9400,8.1100,7.7001,7.9900,295787
2018-01-03,8.2000,8.2300,7.9200,7.9300,260915
2018-01-02,7.9000,8.1800,7.8800,8.1400,272649
2017-12-29,7.7500,7.9600,7.7400,7.8000,271963
2017-12-28,7.8200,7.8600,7.6800,7.8100,148751
2017-12-27,8.1800,8.1800,7.7600,7.8400,237719
2017-12-26,7.9400,8.3400,7.9400,8.2000,297836
2017-12-22,7.7500,7.9500,7.6701,7.9100,264392
2017-12-21,7.7300,8.1500,7.6400,7.8800,447527
2017-12-20,7.5900,7.7400,7.5200,7.7200,229805
2017-12-19,7.9700,7.9800,7.5100,7.6100,401769
2017-12-18,7.6800,7.7800,7.5201,7.7500,577305
2017-12-15,7.5700,7.9800,7.2700,7.4600,1318928
2017-12-14,7.3300,7.3700,7.0000,7.0500,519902
2017-12-13,7.2100,7.4300,7.1973,7.2700,374922
2017-12-12,7.2400,7.5100,7.2100,7.2500,209536
2017-12-11,7.2100,7.2800,7.1400,7.2100,288717
2017-12-08,7.3700,7.3700,7.1100,7.2700,276416
2017-12-07,6.8400,7.3400,6.8100,7.3000,469238
2017-12-06,6.8700,7.0101,6.6700,6.8600,375083
2017-12-05,7.1600,7.2885,6.6000,6.8900,1388807
2017-12-04,6.2200,6.6000,6.2100,6.4500,908686
2017-12-01,6.3300,6.4000,5.8700,6.1000,579138
2017-11-30,6.2700,6.4699,6.1810,6.3600,515427
2017-11-29,5.8300,6.3900,5.8300,6.2700,796848
2017-11-28,5.6800,5.8700,5.5700,5.8600,506739
2017-11-27,5.6400,5.9600,5.6300,5.6800,622572
2017-11-24,5.6600,5.7300,5.5600,5.6000,81423
2017-11-22,5.6300,5.8000,5.6100,5.6600,335301
2017-11-21,5.7000,5.8000,5.5000,5.6100,410366
2017-11-20,5.5900,5.8100,5.4000,5.7300,449162
2017-11-17,5.2000,5.6100,5.1800,5.5800,529437
2017-11-16,5.1100,5.2000,5.0200,5.1800,232621
2017-11-15,4.9300,5.1500,4.8400,5.1000,228363
2017-11-14,5.0600,5.0600,4.9000,4.9600,157853
2017-11-13,5.1900,5.2000,5.0000,5.0800,173798
2017-11-10,5.0900,5.1900,5.0700,5.0900,215179
2017-11-09,4.9300,5.1800,4.9300,5.0800,238805
2017-11-08,5.0200,5.0200,4.8900,5.0000,198875
2017-11-07,5.0400,5.1000,4.8900,4.9800,369917
2017-11-06,5.1100,5.1100,5.0200,5.0800,276284
2017-11-03,5.2800,5.2800,5.0200,5.0700,404577
2017-11-02,5.1300,5.3300,5.1300,5.3100,197346
2017-11-01,5.1300,5.2400,5.0500,5.0900,277018
2017-10-31,5.1800,5.2900,4.9800,5.1100,383932
2017-10-30,5.5800,5.6000,5.1100,5.1800,568527
2017-10-27,5.4800,5.6000,5.4700,5.5800,458571
2017-10-26,5.4400,5.5900,5.4400,5.5400,361789
2017-10-25,5.5000,5.5200,5.4300,5.4500,505511
2017-10-24,5.5900,5.6000,5.3130,5.5100,603733
2017-10-23,5.0900,5.6300,5.0700,5.5400,1792170
2017-10-20,4.9700,5.1400,4.9100,5.1300,727170
2017-10-19,4.9000,4.9200,4.8020,4.9100,366083
2017-10-18,4.7900,4.9100,4.7400,4.8800,573793
2017-10-17,4.9000,5.0500,4.7900,4.8200,779136
2017-10-16,5.2000,5.2000,4.7500,4.9000,2364832
2017-10-13,5.0000,5.1500,4.8300,5.1100,2624363
2017-10-12,5.1300,5.2799,4.8200,4.8600,10389433
2017-10-11,10.1800,10.3000,9.8100,9.9300,413936
2017-10-10,10.1900,10.3000,10.1100,10.1500,125686
2017-10-09,10.7100,10.7100,10.0800,10.0900,167904
2017-10-06,10.6300,10.6700,10.5300,10.6200,88335
2017-10-05,10.5500,10.6430,10.4000,10.5800,120605
2017-10-04,10.5800,10.6250,10.4300,10.5200,196769
2017-10-03,10.8900,10.8900,10.4800,10.4900,167127
2017-10-02,10.9600,10.9600,10.6760,10.8200,150295
2017-09-29,11.1100,11.1150,10.8500,10.8900,140453
2017-09-28,11.0400,11.1400,10.7380,11.1100,146517
2017-09-27,10.7600,11.1900,10.6500,11.0500,286078
2017-09-26,10.7900,10.7900,10.5500,10.6800,163062
