timestamp,open,high,low,close,volume
2018-02-16,5.5500,5.5800,5.4700,5.5800,1272667
2018-02-15,5.4800,5.5500,5.4750,5.5500,683714
2018-02-14,5.3500,5.4900,5.3200,5.4800,1416882
2018-02-13,5.3800,5.3800,5.3200,5.3600,1982199
2018-02-12,5.2500,5.4000,5.2500,5.3200,3617937
2018-02-09,5.1300,5.2500,5.1200,5.2200,2630387
2018-02-08,5.2500,5.2500,5.0900,5.1000,1640919
2018-02-07,5.2700,5.3100,5.1700,5.2100,2133615
2018-02-06,5.2300,5.3800,5.1800,5.3300,1522897
2018-02-05,5.4000,5.4800,5.2800,5.3000,2158288
2018-02-02,5.4550,5.5000,5.3900,5.4600,1654006
2018-02-01,5.4500,5.5100,5.4100,5.5100,1710280
2018-01-31,5.4700,5.5400,5.4200,5.4900,1587370
2018-01-30,5.5100,5.5100,5.4300,5.4800,2609193
2018-01-29,5.5900,5.5900,5.5100,5.5600,1965293
2018-01-26,5.5900,5.6450,5.5500,5.6400,1602375
2018-01-25,5.5200,5.5800,5.4900,5.5600,1270751
2018-01-24,5.4100,5.5100,5.3500,5.5100,1942614
2018-01-23,5.4400,5.4400,5.3700,5.4200,920103
2018-01-22,5.4600,5.5400,5.3300,5.4600,4587698
2018-01-19,5.8200,5.8800,5.5600,5.6100,1231126
2018-01-18,5.8600,5.8800,5.7600,5.7700,781303
2018-01-17,5.9400,5.9400,5.7700,5.8800,1417436
2018-01-16,5.8400,5.9900,5.8100,5.9300,1868235
2018-01-12,5.7000,5.7400,5.6800,5.6800,654652
2018-01-11,5.7200,5.7600,5.6600,5.7200,713343
2018-01-10,5.7600,5.8100,5.7200,5.8100,806878
2018-01-09,5.6800,5.7000,5.6300,5.7000,675125
2018-01-08,5.5600,5.6900,5.5500,5.6700,970308
2018-01-05,5.6500,5.6800,5.5200,5.5600,1210067
2018-01-04,5.6800,5.7300,5.6300,5.6500,1610444
2018-01-03,5.6800,5.7050,5.5700,5.6700,1508021
2018-01-02,5.5000,5.7100,5.4900,5.7100,1676436
2017-12-29,5.4700,5.5000,5.4600,5.4700,512499
2017-12-28,5.4500,5.4830,5.3500,5.4100,1110932
2017-12-27,5.5000,5.5000,5.4200,5.4400,420564
2017-12-26,5.5000,5.5190,5.4600,5.4700,245866
2017-12-22,5.5450,5.5900,5.4800,5.5000,985443
2017-12-21,5.6100,5.6200,5.5100,5.5200,782855
2017-12-20,5.6100,5.6100,5.5600,5.5700,769678
2017-12-19,5.5100,5.6200,5.4300,5.5900,2417589
2017-12-18,5.4600,5.5500,5.3800,5.5200,2111532
2017-12-15,5.3500,5.3900,5.3200,5.3300,3432044
2017-12-14,5.3850,5.4000,5.3300,5.3600,1184497
2017-12-13,5.3100,5.3700,5.3100,5.3400,1266824
2017-12-12,5.3000,5.3200,5.2400,5.3000,845681
2017-12-11,5.2700,5.3800,5.2600,5.3600,937073
2017-12-08,5.2000,5.2400,5.1800,5.2400,610269
2017-12-07,5.1700,5.1800,5.1200,5.1700,436434
2017-12-06,5.1400,5.1700,5.1400,5.1600,706939
2017-12-05,5.1000,5.2000,5.0800,5.1800,1894061
2017-12-04,5.2000,5.2000,5.1000,5.1200,1010878
2017-12-01,5.3000,5.3400,5.0400,5.1500,2364049
2017-11-30,5.3100,5.4000,5.2800,5.3900,3612590
2017-11-29,5.3500,5.4700,5.3000,5.3200,1741969
2017-11-28,5.3400,5.3500,5.3100,5.3100,1062729
2017-11-27,5.3100,5.3200,5.2800,5.3000,1080110
2017-11-24,5.2900,5.3100,5.2500,5.2600,365761
2017-11-22,5.3000,5.3000,5.2500,5.2800,869953
2017-11-21,5.3000,5.3400,5.3000,5.3400,1364502
2017-11-20,5.2500,5.3500,5.2500,5.3300,1808881
2017-11-17,5.3000,5.3000,5.2500,5.2800,1151934
2017-11-16,5.1700,5.3000,5.1400,5.2700,2033884
2017-11-15,5.0900,5.1350,5.0900,5.1200,1118108
2017-11-14,5.0700,5.1800,5.0300,5.1700,1871768
2017-11-13,5.0300,5.1000,4.9500,5.0900,2084305
2017-11-10,5.0700,5.0858,5.0150,5.0300,860464
2017-11-09,5.1300,5.1300,5.0700,5.0700,1481764
2017-11-08,5.1000,5.1100,5.0700,5.0900,2041924
